title,genres,year
Furious 7,Action,2015
X-Men: Apocalypse,Science Fiction,2016
Alice Through the Looking Glass,Fantasy,2016
Gods of Egypt,Fantasy,2016
Master and Commander: The Far Side of the World,Adventure,2003
The Perfect Storm,Drama,2000
The Aviator,Drama,2004
Gulliver's Travels,Comedy,2010
Ali,Drama,2001
The Peanuts Movie,Animation,2015
The Campaign,Comedy,2012
Ben-Hur,Drama,2016
Mission to Mars,Science Fiction,2000
Enemy at the Gates,War,2001
The 6th Day,Science Fiction,2000
The Hangover Part II,Comedy,2011
Grown Ups 2,Comedy,2013
Cold Mountain,Drama,2003
Jack and Jill,Comedy,2011
Grown Ups,Comedy,2010
Dreamgirls,Drama,2006
Spanglish,Comedy,2004
Sphere,Science Fiction,1998
Talladega Nights: The Ballad of Ricky Bobby,Comedy,2006
Driven,Action,2001
Wolf,Fantasy,1994
Hard Rain,Thriller,1998
Ted 2,Comedy,2015
Hall Pass,Comedy,2011
Dinner for Schmucks,Comedy,2010
Apollo 13,Drama,1995
Step Brothers,Comedy,2008
The Dictator,Comedy,2012
Fight Club,Drama,1999
We Are Marshall,Drama,2006
Days of Thunder,Adventure,1990
Cheaper by the Dozen 2,Comedy,2005
Maze Runner: The Scorch Trials,Action,2015
Eat Pray Love,Drama,2010
Any Given Sunday,Drama,1999
A Civil Action,Drama,1998
State of Play,Action,2009
The Soloist,Drama,2009
Dragonfly,Drama,2002
The Black Dahlia,Drama,2006
Edtv,Comedy,1999
Did You Hear About the Morgans?,Comedy,2009
The Internship,Comedy,2013
That's My Boy,Comedy,2012
DragonHeart,Fantasy,1996
Date Night,Comedy,2010
The Pursuit of Happyness,Drama,2006
Bowfinger,Comedy,1999
The Ghost and the Darkness,Adventure,1996
The Watch,Comedy,2012
Stuck on You,Comedy,2003
Semi-Pro,Comedy,2008
Imagine That,Comedy,2009
A Very Long Engagement,Drama,2004
Seven Pounds,Drama,2008
Gigli,Drama,2003
The Change-Up,Comedy,2011
"Me, Myself & Irene",Comedy,2000
Robin Hood: Prince of Thieves,Adventure,1991
Anchorman 2: The Legend Continues,Comedy,2013
Erin Brockovich,Drama,2000
Yes Man,Comedy,2008
Daddy's Home,Comedy,2015
Failure to Launch,Comedy,2006
Moneyball,Drama,2011
Don't Say a Word,Thriller,2001
Firewall,Thriller,2006
The Replacements,Comedy,2000
American Reunion,Comedy,2012
The Judge,Drama,2014
Your Highness,Comedy,2011
Zoolander 2,Comedy,2016
The Tooth Fairy,Horror,2006
3:10 to Yuma,Western,2007
Earth,Drama,1998
Liar Liar,Comedy,1997
Scary Movie 3,Comedy,2003
Scary Movie 2,Comedy,2001
Coach Carter,Drama,2005
Coyote Ugly,Comedy,2000
Blended,Comedy,2014
The Bounty Hunter,Action,2010
Finding Forrester,Drama,2000
Charlie St. Cloud,Drama,2010
Here Comes the Boom,Comedy,2012
Brüno,Comedy,2009
8 Mile,Drama,2002
The Big Year,Comedy,2011
The Karate Kid,Drama,1984
Cheaper by the Dozen,Comedy,2003
A League of Their Own,Comedy,1992
The Conjuring 2,Horror,2016
The Social Network,Drama,2010
Scary Movie 4,Comedy,2006
Get Hard,Comedy,2015
Dumb and Dumber To,Comedy,2014
The Intern,Comedy,2015
"I Love You, Man",Comedy,2009
17 Again,Comedy,2009
Get Him to the Greek,Comedy,2010
Horrible Bosses 2,Comedy,2014
Medicine Man,Adventure,1992
The Guilt Trip,Comedy,2012
Sex Tape,Comedy,2014
Drillbit Taylor,Comedy,2008
Extremely Loud & Incredibly Close,Drama,2011
Get Rich or Die Tryin',Drama,2005
The Out-of-Towners,Comedy,1999
The Other Boleyn Girl,Drama,2008
The Reaping,Horror,2007
Torque,Action,2004
Showgirls,Drama,1995
New York Minute,Comedy,2004
Alfie,Comedy,2004
Because I Said So,Comedy,2007
Grudge Match,Comedy,2013
The Hurricane,Drama,1999
Joe Somebody,Comedy,2001
Precious,Drama,2009
The Master,Drama,2012
The Express,Drama,2008
Creed,Drama,2015
Magnolia,Drama,1999
Reindeer Games,Thriller,2000
Head of State,Comedy,2003
The Hangover,Comedy,2009
There Be Dragons,Drama,2011
The Blind Side,Drama,2009
Trainwreck,Comedy,2015
A Nightmare on Elm Street,Horror,1984
Secretariat,Drama,2010
Radio,Drama,2003
Neighbors 2: Sorority Rising,Comedy,2016
This Is 40,Comedy,2012
License to Wed,Comedy,2007
The Benchwarmers,Comedy,2006
Poltergeist,Horror,1982
Max Payne,Action,2008
House of Wax,Horror,2005
Untraceable,Drama,2008
Flash Gordon,Science Fiction,1980
Concussion,Drama,2015
Furry Vengeance,Comedy,2010
Radio Flyer,Drama,1992
Biutiful,Drama,2010
Unfinished Business,Comedy,2015
A Few Good Men,Drama,1992
Goal!: The Dream Begins,Drama,2005
Wanderlust,Comedy,2012
Stigmata,Horror,1999
Men of Honor,Drama,2000
The Big Wedding,Comedy,2013
Bringing Out the Dead,Drama,1999
The Incredible Burt Wonderstone,Comedy,2013
Cradle Will Rock,Drama,1999
George and the Dragon,Adventure,2004
Criminal,Action,2016
Out of Africa,Drama,1985
Flight,Drama,2012
Vacation,Comedy,2015
Extraordinary Measures,Drama,2010
Remember the Titans,Drama,2000
The Butler,Drama,2013
DodgeBall: A True Underdog Story,Comedy,2004
The First Wives Club,Comedy,1996
District 9,Science Fiction,2009
Million Dollar Baby,Drama,2004
Baby Mama,Comedy,2008
Bride Wars,Comedy,2009
Racing Stripes,Comedy,2005
The Three Stooges,Comedy,2012
Glory Road,Drama,2006
Blue Crush,Adventure,2002
Meet the Spartans,Comedy,2008
Take the Lead,Music,2006
Dumb and Dumberer: When Harry Met Lloyd,Comedy,2003
The Five-Year Engagement,Comedy,2012
Assault on Precinct 13,Thriller,2005
North Country,Drama,2005
An Unfinished Life,Drama,2005
Glory,War,1989
Little Nicholas,Comedy,2009
United Passions,Drama,2014
Keeping the Faith,Comedy,2000
The Boss,Comedy,2016
Cry Freedom,Drama,1987
Once Upon a Time in Mexico,Action,2003
Role Models,Comedy,2008
The Wedding Planner,Comedy,2001
Last Vegas,Comedy,2013
Zoolander,Comedy,2001
Safe Haven,Romance,2013
No Reservations,Comedy,2007
Rob Roy,Adventure,1995
Winged Migration,Documentary,2001
Kundun,Drama,1997
Alatriste,Action,2006
My Sister's Keeper,Drama,2009
Martian Child,Drama,2007
Money Monster,Thriller,2016
Freaky Friday,Comedy,2003
Kindergarten Cop,Comedy,1990
Open Range,Western,2003
Legion,Horror,2010
Agent Cody Banks 2: Destination London,Comedy,2004
Welcome to Mooseport,Comedy,2004
The Passion of the Christ,Drama,2004
Rain Man,Drama,1988
Gran Torino,Drama,2008
The Help,Drama,2011
Freddy vs. Jason,Horror,2003
"Legally Blonde 2: Red, White & Blonde",Comedy,2003
Parental Guidance,Comedy,2012
Finding Neverland,Drama,2004
Anchorman: The Legend of Ron Burgundy,Comedy,2004
Agent Cody Banks,Action,2003
There Will Be Blood,Drama,2007
Million Dollar Arm,Drama,2014
What a Girl Wants,Comedy,2003
The Hours,Drama,2002
August Rush,Drama,2007
The Sitter,Comedy,2011
Kingpin,Comedy,1996
A Lot Like Love,Comedy,2005
He Got Game,Drama,1998
EuroTrip,Comedy,2004
"Bright Lights, Big City",Drama,1988
The Next Best Thing,Comedy,2000
The Girl Next Door,Comedy,2004
Angela's Ashes,Drama,1999
Draft Day,Drama,2014
Lords of Dogtown,Drama,2005
The World's Fastest Indian,Drama,2005
Without Limits,Drama,1998
Love Ranch,Drama,2010
Rocky Balboa,Drama,2006
Old School,Comedy,2003
Zack and Miri Make a Porno,Comedy,2008
"Girl, Interrupted",Drama,1999
The Waterboy,Comedy,1998
Final Destination,Horror,2000
The Ides of March,Drama,2011
Marvin's Room,Drama,1996
The End of the Affair,Drama,1999
The Hundred-Foot Journey,Drama,2014
I Am Sam,Drama,2001
Son of God,Drama,2014
Deuce Bigalow: European Gigolo,Comedy,2005
Delivery Man,Comedy,2013
Our Kind of Traitor,Thriller,2016
Jay and Silent Bob Strike Back,Comedy,2001
Stone,Drama,2010
For Colored Girls,Drama,2010
The Beaver,Drama,2011
The Best Little Whorehouse in Texas,Comedy,1982
Bringing Down the House,Comedy,2003
Tammy,Comedy,2014
White Chicks,Comedy,2004
Bad Moms,Comedy,2016
Date Movie,Comedy,2006
Selena,Drama,1997
Babel,Drama,2006
Scary Movie 5,Comedy,2013
Risen,Action,2016
A Very Harold & Kumar Christmas,Comedy,2011
Under the Rainbow,Comedy,1981
Reign Over Me,Drama,2007
The Kite Runner,Drama,2007
Capitalism: A Love Story,Documentary,2009
Envy,Comedy,2004
One Night with the King,Drama,2006
Burnt,Drama,2015
Everybody's Fine,Drama,2009
Connie and Carla,Comedy,2004
Doogal,Family,2006
Willard,Horror,2003
Strange Wilderness,Comedy,2008
Chasing Mavericks,Drama,2012
Flash of Genius,Drama,2008
"Synecdoche, New York",Drama,2008
My All American,Drama,2015
Marci X,Comedy,2003
The Oogieloves in the Big Balloon Adventure,Family,2012
The Game of Their Lives,Drama,2005
Rapa Nui,Adventure,1994
Dwegons,Animation,2014
Hands of Stone,Drama,2016
Survivor,Thriller,2015
Bad Teacher,Comedy,2011
